Rank	Ligand	Target	Target name	Score (kcal/mol)	Pan-tick	Human selectivity	ADMET flag	MW	logP	HBD	HBA	TPSA	RotBonds	ArRings	logS_ESOL	Lipinski	Veber	Egan	PAINS	Brenk	hERG_flag	AMES_flag	AMES_alerts	Hepatotox_flag	Hepatotox_alerts	BasicN_count
1	CHEMBL9171	B7P5E9	B7P5E9	-13.125	No	0.514	FLAG(hERG)	428.2	3.91	3	5	91.3	5	4	-5.14	Pass	Pass	Pass	Clean	Flag	Flag	Low risk		Low risk		2
2	CHEMBL8905	B7P5E9	B7P5E9	-12.995	No	0.517	FLAG(hERG)	385.15	3.84	3	4	88.1	4	4	-4.95	Pass	Pass	Pass	Clean	Flag	Flag	Low risk		Low risk		1
3	CHEMBL9203	B7P5E9	B7P5E9	-12.373	No	0.478	FLAG(hERG,AMES)	474.17	4.23	3	7	140.4	7	4	-5.45	Pass	Fail	Fail	Clean	Flag	Flag	Flag	ArNitro	Low risk		2
4	CHEMBL8922	B7PY20	B7PY20	-12.034	Yes		FLAG(hERG)	459.19	4.33	3	6	106.5	7	4	-5.43	Pass	Pass	Pass	Clean	Flag	Flag	Low risk		Low risk		1
5	CHEMBL429008	B7P5E9	B7P5E9	-11.885	No	0.468	CLEAN	425.2	4.37	2	6	105.4	7	5	-5.37	Pass	Pass	Pass	Clean	Clean	Low risk	Low risk		Low risk		0
6	CHEMBL429379	B7PY20	B7PY20	-11.785	Yes		FLAG(hERG,AMES,Hepatotox)	421.21	2.4	1	7	93.8	4	2	-3.94	Pass	Pass	Pass	Clean	Flag	Flag	Flag	ArPrimAmine	Flag	Michael acceptor|ArPrimAmine	2
7	CHEMBL10161	B7P5E9	B7P5E9	-11.781	No	0.566	FLAG(hERG)	463.18	4.23	0	6	67.4	6	4	-5.45	Pass	Pass	Pass	Clean	Clean	Flag	Low risk		Low risk		2
8	CHEMBL9250	B7P5E9	B7P5E9	-11.767	No		FLAG(hERG)	423.2	3.46	0	4	58.7	4	3	-4.74	Pass	Pass	Pass	Clean	Clean	Flag	Low risk		Low risk		1
9	CHEMBL9203	B7PY20	B7PY20	-11.755	Yes	0.478	FLAG(hERG,AMES)	474.17	4.23	3	7	140.4	7	4	-5.45	Pass	Fail	Fail	Clean	Flag	Flag	Flag	ArNitro	Low risk		2
10	CHEMBL9291	B7P5E9	B7P5E9	-11.695	No		FLAG(hERG)	429.18	4.32	3	5	97.3	6	4	-5.34	Pass	Pass	Pass	Clean	Flag	Flag	Low risk		Low risk		1
11	CHEMBL9190	B7PY20	B7PY20	-11.604	Yes		FLAG(hERG)	403.21	3.69	1	4	41.9	3	2	-4.76	Pass	Pass	Pass	Clean	Clean	Flag	Low risk		Low risk		1
12	CHEMBL8920	B7PY20	B7PY20	-11.581	Yes		FLAG(hERG)	473.17	3.72	3	7	123.6	7	4	-5.12	Pass	Pass	Pass	Clean	Flag	Flag	Low risk		Low risk		1
13	CHEMBL9250	B7PY20	B7PY20	-11.576	Yes		FLAG(hERG)	423.2	3.46	0	4	58.7	4	3	-4.74	Pass	Pass	Pass	Clean	Clean	Flag	Low risk		Low risk		1
14	CHEMBL9917	B7P5E9	B7P5E9	-11.533	No		CLEAN	388.22	4.72	1	2	43.3	5	3	-5.27	Pass	Pass	Pass	Clean	Clean	Low risk	Low risk		Low risk		0
15	CHEMBL9167	B7P5E9	B7P5E9	-11.473	No		WARN(PAINS,Brenk)	378.07	4.11	4	7	120.4	1	4	-5.21	Pass	Pass	Pass	Flag	Flag	Low risk	Low risk		Low risk		0
16	CHEMBL9291	B7PY20	B7PY20	-11.463	Yes		FLAG(hERG)	429.18	4.32	3	5	97.3	6	4	-5.34	Pass	Pass	Pass	Clean	Flag	Flag	Low risk		Low risk		1
