Rank	Ligand	Target name	Score (kcal/mol)	Pan-tick	Human selectivity	MW	logP	TPSA	RotBonds	logS_ESOL	Lipinski	Veber	hERG_flag	AMES_flag	Hepatotox_flag	PAINS	ADMET flag
1	CHEMBL94259	B7P5E9	-14.0	No		565.19	4.53	97.3	7	-5.96	Pass	Pass	Flag	Low risk	Flag	Clean	FLAG(hERG,Hepatotox)
2	CHEMBL91403	B7P5E9	-13.9	No		550.23	4.01	112.3	7	-5.54	Pass	Pass	Flag	Low risk	Flag	Clean	FLAG(hERG,Hepatotox)
3	CHEMBL90184	B7P5E9	-13.3	No		540.2	4.66	73.5	7	-5.9	Pass	Pass	Flag	Low risk	Flag	Clean	FLAG(hERG,Hepatotox)
4	CHEMBL9405	B7P5E9	-13.2	No		454.18	4.19	121.1	6	-5.38	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
5	CHEMBL328658	B7P5E9	-13.1	No		493.23	3.85	97.3	7	-5.11	Pass	Pass	Flag	Low risk	Flag	Clean	FLAG(hERG,Hepatotox)
6	CHEMBL9718	B7PY20	-13.1	Yes		442.17	3.46	87.2	4	-5.15	Pass	Pass	Low risk	Low risk	Low risk	Clean	WARN(Brenk)
7	CHEMBL275307	B7P5E9	-13.0	No		440.16	3.8	121.1	6	-5.06	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
8	CHEMBL90128	B7P5E9	-13.0	No		536.19	0.2	172.0	7	-3.17	Pass	Fail	Low risk	Low risk	Low risk	Clean	CLEAN
9	CHEMBL93843	B7P5E9	-13.0	No		550.23	3.96	103.5	7	-5.51	Pass	Pass	Flag	Low risk	Flag	Clean	FLAG(hERG,Hepatotox)
10	CHEMBL419497	B7P5E9	-12.9	No		511.22	3.75	88.5	7	-5.15	Pass	Pass	Flag	Low risk	Flag	Clean	FLAG(hERG,Hepatotox)
11	CHEMBL421356	B7P5E9	-12.9	No		606.12	5.61	74.8	8	-6.95	Fail	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
12	CHEMBL6293	B7P5E9	-12.9	No		417.05	3.5	98.0	2	-5.14	Pass	Pass	Low risk	Low risk	Low risk	Clean	WARN(Brenk)
13	CHEMBL8922	B7P5E9	-12.9	No		459.19	4.33	106.5	7	-5.43	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
14	CHEMBL327329	Q6XR73	-12.9	No		606.25	5.7	64.7	8	-6.98	Fail	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
15	CHEMBL91649	Q6XR73	-12.9	No		503.19	4.53	102.5	8	-5.71	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
16	CHEMBL276627	B7P5E9	-12.8	No		463.14	4.97	97.3	6	-5.94	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
17	CHEMBL90086	B7P5E9	-12.8	No		511.22	3.94	88.5	7	-5.27	Pass	Pass	Flag	Low risk	Flag	Clean	FLAG(hERG,Hepatotox)
18	CHEMBL91616	B7P5E9	-12.8	No		511.22	3.75	88.5	7	-5.15	Pass	Pass	Flag	Low risk	Flag	Clean	FLAG(hERG,Hepatotox)
19	CHEMBL93644	B7P5E9	-12.8	No		439.26	5.81	35.6	5	-6.3	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
20	CHEMBL316358	B7P5E9	-12.7	No		536.21	3.62	112.3	7	-5.21	Pass	Pass	Flag	Low risk	Flag	Clean	FLAG(hERG,Hepatotox)
21	CHEMBL328898	B7P5E9	-12.7	No		582.19	4.03	93.2	8	-5.79	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
22	CHEMBL91053	B7P5E9	-12.7	No		574.18	3.78	122.2	9	-5.59	Pass	Pass	Low risk	Low risk	Low risk	Clean	CLEAN
23	CHEMBL9524	B7P5E9	-12.7	No													CLEAN
24	CHEMBL96217	B7P5E9	-12.7	No		428.26	5.92	6.5	6	-6.25	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
25	CHEMBL329131	B7PY20	-12.7	Yes		460.22	4.97	40.6	6	-5.83	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
26	CHEMBL90647	B7PY20	-12.7	Yes		557.22	5.14	94.6	8	-6.46	Fail	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
27	CHEMBL330528	B7P5E9	-12.6	No		520.19	4.25	63.7	5	-5.78	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
28	CHEMBL88605	B7P5E9	-12.6	No		558.25	3.53	114.2	3	-5.61	Pass	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
29	CHEMBL88771	B7P5E9	-12.6	No		412.18	5.07	82.2	5	-5.67	Pass	Pass	Low risk	Low risk	Flag	Clean	FLAG(Hepatotox)
30	CHEMBL89251	B7P5E9	-12.6	No		576.11	5.6	72.5	8	-6.77	Fail	Pass	Flag	Low risk	Low risk	Clean	FLAG(hERG)
