rank	ligand	target	target_name	score_kcal_mol	smiles	mw	logp	hbd	hba	tpsa	rotbonds	rings	lipinski	pan_tick	rnai_evidence	human_identity_pct
1	CHEMBL94259	B7P5E9	B7P5E9	-14.0	N#Cc1cc(F)ccc1C1CCN(CCCNC(=O)C2=C(C(F)(F)F)NC(=O)N[C@@H]2c2ccc(F)c(F)c2)CC1	565.19	4.53	3	4	97.3	7	4	Pass	No	No	42.3
2	CHEMBL91403	B7P5E9	B7P5E9	-13.9	CC1=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3C#N)CC2)[C@@H](c2ccc(F)c(F)c2)NC(=O)N1C	550.23	4.01	2	5	112.3	7	4	Pass	No	No	42.3
3	CHEMBL90184	B7P5E9	B7P5E9	-13.3	O=C1NC(C(F)(F)F)=C(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)N1	540.2	4.66	3	3	73.5	7	4	Pass	No	No	42.3
4	CHEMBL9405	B7P5E9	B7P5E9	-13.2	CC(C)Oc1cccc(-n2c(NNC(=O)Nc3cccc(C#N)c3)nc3ccccc3c2=O)c1	454.18	4.19	3	6	121.1	6	4	Pass	No	No	42.3
5	CHEMBL328658	B7P5E9	B7P5E9	-13.1	CC1=C(C(=O)NCCCN2CCC(c3ccccc3C#N)CC2)[C@@H](c2ccc(F)c(F)c2)NC(=O)N1	493.23	3.85	3	4	97.3	7	4	Pass	No	No	42.3
6	CHEMBL9718	B7PY20	B7PY20	-13.1	C(#Cc1ncnc2c1ncn2Cc1ccccc1)c1ncnc2c1ncn2Cc1ccccc1	442.17	3.46	0	6	87.2	4	6	Pass	Yes	No	35.1
7	CHEMBL275307	B7P5E9	B7P5E9	-13.0	CCOc1cccc(-n2c(NNC(=O)Nc3cccc(C#N)c3)nc3ccccc3c2=O)c1	440.16	3.8	3	6	121.1	6	4	Pass	No	No	42.3
8	CHEMBL90128	B7P5E9	B7P5E9	-13.0	C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NC1C(O)C(CO)OC1n1ccc(=O)[nH]c1=O	536.19	0.2	5	8	172.0	7	5	Pass	No	No	42.3
9	CHEMBL93843	B7P5E9	B7P5E9	-13.0	CN1C=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3C#N)CC2)[C@@H](c2ccc(F)c(F)c2)N(C)C1=O	550.23	3.96	1	5	103.5	7	4	Pass	No	No	42.3
10	CHEMBL419497	B7P5E9	B7P5E9	-12.9	CN1C=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3)CC2)[C@H](c2ccc(F)c(F)c2)NC1=O	511.22	3.75	2	4	88.5	7	4	Pass	No	No	42.3
11	CHEMBL421356	B7P5E9	B7P5E9	-12.9	CN(C[C@@H](CCN1CCC2(CC1)CS(=O)(=O)c1ccccc12)c1ccc(Cl)c(Cl)c1)S(=O)(=O)c1ccccc1	606.12	5.61	0	5	74.8	8	5	Fail	No	No	42.3
12	CHEMBL6293	B7P5E9	B7P5E9	-12.9	O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1	417.05	3.5	1	5	98.0	2	5	Pass	No	No	42.3
13	CHEMBL8922	B7P5E9	B7P5E9	-12.9	COc1cccc(NC(=O)NNc2nc3ccccc3c(=O)n2-c2cccc(OC(C)C)c2)c1	459.19	4.33	3	6	106.5	7	4	Pass	No	No	42.3
14	CHEMBL327329	Q6XR73	Q6XR73	-12.9	CN1CC[C@@H](c2ccc(Cl)cc2)[C@H](C(=O)NCc2ccc(CNC(=O)[C@@H]3CN(C)CC[C@H]3c3ccc(Cl)cc3)cc2)C1	606.25	5.7	2	4	64.7	8	5	Fail	No	No	
15	CHEMBL91649	Q6XR73	Q6XR73	-12.9	O=C(O)[C@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(N2CCC(c3ccccc3)CC2)cc1	503.19	4.53	3	4	102.5	8	5	Pass	No	No	
16	CHEMBL276627	B7P5E9	B7P5E9	-12.8	CC(C)Oc1cccc(-n2c(NNC(=O)Nc3cccc(Cl)c3)nc3ccccc3c2=O)c1	463.14	4.97	3	5	97.3	6	4	Pass	No	No	42.3
17	CHEMBL90086	B7P5E9	B7P5E9	-12.8	CN1C=C(C(=O)NCCCN2CCC(c3ccc(F)cc3C#N)CC2)[C@@H](c2ccc(F)c(F)c2)NC1=O	511.22	3.94	2	4	88.5	7	4	Pass	No	No	42.3
18	CHEMBL91616	B7P5E9	B7P5E9	-12.8	CN1C=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)NC1=O	511.22	3.75	2	4	88.5	7	4	Pass	No	No	42.3
19	CHEMBL93644	B7P5E9	B7P5E9	-12.8	O=C(Nc1ccccc1)N1C[C@H](CN2CCC(c3ccccc3)CC2)[C@@H](c2ccccc2)C1	439.26	5.81	1	2	35.6	5	5	Pass	No	No	42.3
20	CHEMBL316358	B7P5E9	B7P5E9	-12.7	CN1C=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3C#N)CC2)[C@@H](c2ccc(F)c(F)c2)NC1=O	536.21	3.62	2	5	112.3	7	4	Pass	No	No	42.3
21	CHEMBL328898	B7P5E9	B7P5E9	-12.7	CN(C[C@@H](CCN1CCC2(CC1)CS(=O)(=O)c1ccccc12)c1ccc2c(c1)OCO2)S(=O)(=O)c1ccccc1	582.19	4.03	0	7	93.2	8	6	Pass	No	No	42.3
22	CHEMBL91053	B7P5E9	B7P5E9	-12.7	COc1ccc(S(=O)(=O)N2Cc3ccccc3C[C@H]2C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)O)cc1OC	574.18	3.78	2	6	122.2	9	5	Pass	No	No	42.3
23	CHEMBL9524	B7P5E9	B7P5E9	-12.7									?	No	No	42.3
24	CHEMBL96217	B7P5E9	B7P5E9	-12.7	Fc1cccc([C@H]2CN(Cc3ccccc3)C[C@@H]2CN2CCC(c3ccccc3)CC2)c1	428.26	5.92	0	2	6.5	6	5	Pass	No	No	42.3
25	CHEMBL329131	B7PY20	B7PY20	-12.7	O=S(=O)(c1ccccc1)N1C[C@H](CN2CCC(c3ccccc3)CC2)[C@@H](c2ccccc2)C1	460.22	4.97	0	3	40.6	6	5	Pass	Yes	No	35.1
26	CHEMBL90647	B7PY20	B7PY20	-12.7	O=C(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1	557.22	5.14	2	6	94.6	8	6	Fail	Yes	No	35.1
27	CHEMBL330528	B7P5E9	B7P5E9	-12.6	O=S(=O)(c1ccccc1)N1C[C@H](CN2CCC3(CC2)C[S+]([O-])c2ccccc23)[C@@H](c2ccccc2)C1	520.19	4.25	0	4	63.7	5	6	Pass	No	No	42.3
28	CHEMBL88605	B7P5E9	B7P5E9	-12.6	CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(OC(=O)N4CCC(N5CCCCC5)CC4)ccc3nc2-1	558.25	3.53	1	8	114.2	3	7	Pass	No	No	42.3
29	CHEMBL88771	B7P5E9	B7P5E9	-12.6	O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2	412.18	5.07	3	2	82.2	5	5	Pass	No	No	42.3
30	CHEMBL89251	B7P5E9	B7P5E9	-12.6	O=S(=O)(NC[C@@H](CCN1CCC2(CC1)C[S+]([O-])c1ccccc12)c1ccc(Cl)c(Cl)c1)c1ccccc1	576.11	5.6	1	4	72.5	8	5	Fail	No	No	42.3
31	CHEMBL89887	B7P5E9	B7P5E9	-12.6	CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc4c(cc3nc2-1)OCCO4	406.12	1.85	1	7	99.9	1	6	Pass	No	No	42.3
32	CHEMBL89936	B7P5E9	B7P5E9	-12.6	CC(COc1ccc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1sc2c(c1C#N)CCC2)c1ccccc1	551.15	4.56	1	7	108.7	8	5	Pass	No	No	42.3
