rank	ligand	target	score_kcal_mol	cluster	cluster_rep	murcko_scaffold	nn_tanimoto
1	CHEMBL94259	B7P5E9	-14.0	0	Yes	CC1CCC(C(C)CCCCC2CCC(C3CCCCC3)CC2)C(C2CCCCC2)C1	1.0
2	CHEMBL91403	B7P5E9	-13.9	0	No	CC1CCC(C(C)CCCCC2CCC(C3CCCCC3)CC2)C(C2CCCCC2)C1	0.772
3	CHEMBL90184	B7P5E9	-13.3	0	No	CC1CCC(C(C)CCCCC2CCC(C3CCCCC3)CC2)C(C2CCCCC2)C1	0.792
4	CHEMBL9405	B7P5E9	-13.2	1	Yes	CC(CCC1CC2CCCCC2C(C)C1C1CCCCC1)CC1CCCCC1	0.809
5	CHEMBL328658	B7P5E9	-13.1	0	No	CC1CCC(C(C)CCCCC2CCC(C3CCCCC3)CC2)C(C2CCCCC2)C1	0.747
6	CHEMBL9718	B7PY20	-13.1	20	Yes	C1CCC(CC2CCC3C(CCC4CCCC5C(CC6CCCCC6)CCC45)CCCC23)CC1	0.182
7	CHEMBL275307	B7P5E9	-13.0	1	No	CC(CCC1CC2CCCCC2C(C)C1C1CCCCC1)CC1CCCCC1	0.809
8	CHEMBL90128	B7P5E9	-13.0	19	Yes	CC(CCC(C)CC1CCCC1C1CCC(C)CC1C)CCC1C2CCCCC2C2CCCCC21	0.206
9	CHEMBL93843	B7P5E9	-13.0	0	No	CC1CCC(C(C)CCCCC2CCC(C3CCCCC3)CC2)C(C2CCCCC2)C1	0.795
10	CHEMBL419497	B7P5E9	-12.9	0	No	CC1CCC(C(C)CCCCC2CCC(C3CCCCC3)CC2)C(C2CCCCC2)C1	1.0
11	CHEMBL421356	B7P5E9	-12.9	6	Yes	CC(C)(CCC(CCC1CCC2(CC1)CC(C)(C)C1CCCCC12)C1CCCCC1)C1CCCCC1	0.767
12	CHEMBL6293	B7P5E9	-12.9	18	Yes	CC1CCC(C2CCC(C3CCC4CC5CCCCC5C(C)C4C3)CC2)C(C)C1	0.171
13	CHEMBL8922	B7P5E9	-12.9	1	No	CC(CCC1CC2CCCCC2C(C)C1C1CCCCC1)CC1CCCCC1	0.869
14	CHEMBL327329	Q6XR73	-12.9	4	Yes	CC(CCC1CCC(CCC(C)C2CCCCC2C2CCCCC2)CC1)C1CCCCC1C1CCCCC1	0.764
15	CHEMBL91649	Q6XR73	-12.9	17	Yes	CC(C)(CCCC1CCC2CCCCC21)C1CCC(C2CCC(C3CCCCC3)CC2)CC1	0.296
16	CHEMBL276627	B7P5E9	-12.8	1	No	CC(CCC1CC2CCCCC2C(C)C1C1CCCCC1)CC1CCCCC1	0.825
