rank	ligand	score_kcal_mol	nn_tanimoto	cluster
1	CHEMBL94259	-14.0	1.0	0
2	CHEMBL91403	-13.9	0.772	0
3	CHEMBL90184	-13.3	0.792	0
4	CHEMBL9405	-13.2	0.809	1
5	CHEMBL328658	-13.1	0.747	0
6	CHEMBL9718	-13.1	0.182	20
7	CHEMBL275307	-13.0	0.809	1
8	CHEMBL90128	-13.0	0.206	19
9	CHEMBL93843	-13.0	0.795	0
10	CHEMBL419497	-12.9	1.0	0
11	CHEMBL421356	-12.9	0.767	6
12	CHEMBL6293	-12.9	0.171	18
13	CHEMBL8922	-12.9	0.869	1
14	CHEMBL327329	-12.9	0.764	4
15	CHEMBL91649	-12.9	0.296	17
16	CHEMBL276627	-12.8	0.825	1
17	CHEMBL90086	-12.8	0.744	0
18	CHEMBL91616	-12.8	1.0	0
19	CHEMBL93644	-12.8	0.569	2
20	CHEMBL316358	-12.7	0.8	0
21	CHEMBL328898	-12.7	0.767	8
22	CHEMBL91053	-12.7	0.387	16
23	CHEMBL96217	-12.7	0.528	2
24	CHEMBL329131	-12.7	0.604	2
25	CHEMBL90647	-12.7	0.623	5
26	CHEMBL330528	-12.6	0.583	2
27	CHEMBL88605	-12.6	0.566	7
28	CHEMBL88771	-12.6	0.788	3
29	CHEMBL89251	-12.6	0.494	6
30	CHEMBL89887	-12.6	0.566	7
31	CHEMBL89936	-12.6	0.223	15
32	CHEMBL91088	-12.6	0.781	5
33	CHEMBL91091	-12.6	0.74	0
34	CHEMBL93887	-12.6	0.604	2
35	CHEMBL89845	-12.6	0.298	14
36	CHEMBL94259	-12.6	1.0	0
37	CHEMBL268680	-12.5	0.208	13
38	CHEMBL314949	-12.5	0.781	5
39	CHEMBL330687	-12.5	0.387	12
40	CHEMBL90652	-12.5	0.747	0
41	CHEMBL91489	-12.5	0.204	11
42	CHEMBL9203	-12.5	0.776	1
43	CHEMBL9311	-12.5	0.869	1
44	CHEMBL94109	-12.5	0.216	10
45	CHEMBL6323	-12.5	0.264	9
46	CHEMBL91574	-12.5	1.0	4
47	CHEMBL91574	-12.5	1.0	4
48	CHEMBL313746	-12.4	0.571	3
49	CHEMBL313821	-12.4	0.788	3
