Rank	Ligand ID	Target	Target name	Score (kcal/mol)	MW (Da)	LogP	HBD	HBA	TPSA (Å²)	Ro5	Pan-tick	RNAi lethal
1	CHEMBL9171	B7P5E9	B7P5E9	-13.125	428.2	3.91	3	5	91.3	Pass	No	No
2	CHEMBL8905	B7P5E9	B7P5E9	-12.995	385.15	3.84	3	4	88.1	Pass	No	No
3	CHEMBL9203	B7P5E9	B7P5E9	-12.373	474.17	4.23	3	7	140.4	Pass	No	No
4	CHEMBL8922	B7PY20	B7PY20	-12.034	459.19	4.33	3	6	106.5	Pass	Yes	No
5	CHEMBL429008	B7P5E9	B7P5E9	-11.885	425.2	4.37	2	6	105.4	Pass	No	No
6	CHEMBL429379	B7PY20	B7PY20	-11.785	421.21	2.4	1	7	93.8	Pass	Yes	No
7	CHEMBL10161	B7P5E9	B7P5E9	-11.781	463.18	4.23	0	6	67.4	Pass	No	No
8	CHEMBL9250	B7P5E9	B7P5E9	-11.767	423.2	3.46	0	4	58.7	Pass	No	No
9	CHEMBL9203	B7PY20	B7PY20	-11.755	474.17	4.23	3	7	140.4	Pass	Yes	No
10	CHEMBL9291	B7P5E9	B7P5E9	-11.695	429.18	4.32	3	5	97.3	Pass	No	No
