accession	species	name	gene	apis_mellifera_identity	apis_mellifera_ortholog_absent	bombus_terrestris_identity	bombus_terrestris_ortholog_absent	varroa_destructor_identity	varroa_destructor_ortholog_absent	metaseiulus_occidentalis_identity	metaseiulus_occidentalis_ortholog_absent	tetranychus_urticae_identity	tetranychus_urticae_ortholog_absent	daphnia_magna_identity	daphnia_magna_ortholog_absent	folsomia_candida_identity	folsomia_candida_ortholog_absent	drosophila_melanogaster_identity	drosophila_melanogaster_ortholog_absent	limulus_polyphemus_identity	limulus_polyphemus_ortholog_absent	homo_sapiens_identity	homo_sapiens_ortholog_absent	canis_lupus_familiaris_identity	canis_lupus_familiaris_ortholog_absent	felis_catus_identity	felis_catus_ortholog_absent	mus_musculus_identity	mus_musculus_ortholog_absent	min_divergence	min_divergence_species	verdict	arthropod_verdict	arthropod_min_divergence	arthropod_worst_species	mammal_verdict	mammal_min_divergence	mammal_worst_species	scope
F6KSY2	ixodes_scapularis	F6KSY2		0.0	True	0.0	True	0.2804	False	0.2995	False	0.0	True	0.0	True	0.0	True	0.0	True	0.0	True	0.0	True	0.0	True	0.0	True	0.0	True	0.7005	metaseiulus_occidentalis	SELECTIVE	SELECTIVE	0.7005	metaseiulus_occidentalis	SELECTIVE	1.0	homo_sapiens	BOTH
B7P6A8	ixodes_scapularis			0.3039	False	0.3161	False	0.3071	False	0.3262	False	0.3136	False	0.3368	False	0.3226	False	0.3133	False	0.3321	False	0.3377	False	0.3444	False	0.3311	False	0.3444	False	0.6556	canis_lupus_familiaris	SELECTIVE	SELECTIVE	0.6632	daphnia_magna	SELECTIVE	0.6556	canis_lupus_familiaris	BOTH
B7PKZ2	ixodes_scapularis	B7PKZ2		0.0	True	0.0	True	0.3505	False	0.3359	False	0.0	True	0.0	True	0.0	True	0.0	True	0.2976	False	0.0	True	0.0	True	0.0	True	0.0	True	0.6495	varroa_destructor	SELECTIVE	SELECTIVE	0.6495	varroa_destructor	SELECTIVE	1.0	homo_sapiens	BOTH
B2ZHX0	dermacentor_variabilis			0.2935	False	0.3036	False	0.361	False	0.3525	False	0.3485	False	0.3463	False	0.3143	False	0.2556	False	0.355	False	0.2841	False	0.2557	False	0.2614	False	0.2852	False	0.639	varroa_destructor	SELECTIVE	SELECTIVE	0.639	varroa_destructor	SELECTIVE	0.7148	mus_musculus	BOTH
Q2HZ27	dermacentor_variabilis			0.0	True	0.2674	False	0.3454	False	0.2798	False	0.2887	False	0.2782	False	0.2486	False	0.0	True	0.3627	False	0.0	True	0.0	True	0.0	True	0.0	True	0.6373	limulus_polyphemus	SELECTIVE	SELECTIVE	0.6373	limulus_polyphemus	SELECTIVE	1.0	homo_sapiens	BOTH
B7SP34	dermacentor_variabilis			0.3218	False	0.3275	False	0.3823	False	0.3885	False	0.3774	False	0.3487	False	0.3774	False	0.3376	False	0.3885	False	0.344	False	0.3654	False	0.3526	False	0.3416	False	0.6115	metaseiulus_occidentalis	SELECTIVE	SELECTIVE	0.6115	metaseiulus_occidentalis	SELECTIVE	0.6346	canis_lupus_familiaris	BOTH
B7SP56	dermacentor_variabilis			0.3125	False	0.299	False	0.2797	False	0.2812	False	0.3238	False	0.3934	False	0.3433	False	0.2975	False	0.3419	False	0.0	True	0.0	True	0.0	True	0.25	False	0.6066	daphnia_magna	SELECTIVE	SELECTIVE	0.6066	daphnia_magna	SELECTIVE	0.75	mus_musculus	BOTH
B7SP64	dermacentor_variabilis			0.3125	False	0.299	False	0.2797	False	0.2812	False	0.3238	False	0.3934	False	0.3433	False	0.2975	False	0.3419	False	0.0	True	0.0	True	0.0	True	0.0	True	0.6066	daphnia_magna	SELECTIVE	SELECTIVE	0.6066	daphnia_magna	SELECTIVE	1.0	homo_sapiens	BOTH
Q2Q443	dermacentor_variabilis			0.3535	False	0.3056	False	0.322	False	0.3333	False	0.3314	False	0.3119	False	0.2843	False	0.3379	False	0.4242	False	0.2991	False	0.3155	False	0.3136	False	0.293	False	0.5758	limulus_polyphemus	MARGINAL	MARGINAL	0.5758	limulus_polyphemus	SELECTIVE	0.6845	canis_lupus_familiaris	RESIDENTIAL_ONLY
B7SP48	dermacentor_variabilis			0.4048	False	0.3904	False	0.3836	False	0.377	False	0.3894	False	0.3784	False	0.3664	False	0.4016	False	0.4254	False	0.3258	False	0.3275	False	0.406	False	0.4016	False	0.5746	limulus_polyphemus	MARGINAL	MARGINAL	0.5746	limulus_polyphemus	MARGINAL	0.594	felis_catus	NEITHER
