rank,accession,gene,name,length,mean_plddt,structure_quality,druggable_pockets,allosteric_sites,human_identity_pct,human_risk,rnai_evidence,rnai_paper_count,final_score,alphafold_url,top_score_reasons
1,A0A649X9W4,COI,Cytochrome c oxidase subunit 1,196,97.14,EXCELLENT,2,1,78.6,MEDIUM,True,1,23,https://alphafold.ebi.ac.uk/entry/A0A649X9W4,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
2,B2ZHX0,,,449,74.42,USABLE,2,1,28.5,LOW,False,0,21,https://alphafold.ebi.ac.uk/entry/B2ZHX0,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
3,C6G1Y6,,Aminopeptidase N,586,94.95,EXCELLENT,1,0,37.9,LOW,False,0,20,https://alphafold.ebi.ac.uk/entry/C6G1Y6,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
4,A0A0K1G5W8,COI,Cytochrome c oxidase subunit 1,219,97.41,EXCELLENT,1,0,79.5,MEDIUM,True,1,20,https://alphafold.ebi.ac.uk/entry/A0A0K1G5W8,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
5,A0A142I6V3,cox1,Cytochrome c oxidase subunit 1,188,96.81,EXCELLENT,1,0,79.1,MEDIUM,True,1,20,https://alphafold.ebi.ac.uk/entry/A0A142I6V3,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
6,A0A2U4Y449,COI,Cytochrome c oxidase subunit 1,212,96.98,EXCELLENT,1,0,79.7,MEDIUM,True,1,20,https://alphafold.ebi.ac.uk/entry/A0A2U4Y449,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
7,Q9MCZ9,COI,Cytochrome c oxidase subunit 1,264,97.01,EXCELLENT,1,0,79.8,MEDIUM,True,1,20,https://alphafold.ebi.ac.uk/entry/Q9MCZ9,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
8,G0WV55,,,905,80.97,GOOD,2,1,63.9,MEDIUM,False,0,19,https://alphafold.ebi.ac.uk/entry/G0WV55,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
9,A7LJ78,,,333,94.33,EXCELLENT,2,1,56.5,MEDIUM,False,0,19,https://alphafold.ebi.ac.uk/entry/A7LJ78,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
10,Q8T9S4,,Tetraspanin,227,83.17,GOOD,1,0,34.3,LOW,False,0,18,https://alphafold.ebi.ac.uk/entry/Q8T9S4,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
11,A0A2U8U2Q4,,Cytochrome c oxidase subunit 1,230,97.17,EXCELLENT,2,1,81.1,HIGH,True,1,18,https://alphafold.ebi.ac.uk/entry/A0A2U8U2Q4,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
12,A0A2U8U2R2,,Cytochrome c oxidase subunit 1,230,97.24,EXCELLENT,2,1,81.6,HIGH,True,1,18,https://alphafold.ebi.ac.uk/entry/A0A2U8U2R2,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
13,A0A2U8U2Y5,,Cytochrome c oxidase subunit 1,230,97.18,EXCELLENT,2,1,81.6,HIGH,True,1,18,https://alphafold.ebi.ac.uk/entry/A0A2U8U2Y5,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
14,A0A2U8U368,,Cytochrome c oxidase subunit 1,230,97.35,EXCELLENT,2,1,81.1,HIGH,True,1,18,https://alphafold.ebi.ac.uk/entry/A0A2U8U368,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
15,A0A2U8U3E7,,Cytochrome c oxidase subunit 1,230,97.18,EXCELLENT,2,1,81.6,HIGH,True,1,18,https://alphafold.ebi.ac.uk/entry/A0A2U8U3E7,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
16,A0A2U8U3G2,,Cytochrome c oxidase subunit 1,230,97.27,EXCELLENT,2,1,81.1,HIGH,True,1,18,https://alphafold.ebi.ac.uk/entry/A0A2U8U3G2,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
17,A0A2U8U3H0,,Cytochrome c oxidase subunit 1,230,97.21,EXCELLENT,2,1,81.3,HIGH,True,1,18,https://alphafold.ebi.ac.uk/entry/A0A2U8U3H0,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
18,A0A2U8U3S9,,Cytochrome c oxidase subunit 1,230,97.26,EXCELLENT,2,1,81.3,HIGH,True,1,18,https://alphafold.ebi.ac.uk/entry/A0A2U8U3S9,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
19,A0A2U8U3T1,,Cytochrome c oxidase subunit 1,230,97.19,EXCELLENT,2,1,81.6,HIGH,True,1,18,https://alphafold.ebi.ac.uk/entry/A0A2U8U3T1,No experimental structure (+3) | No registered ligands (+3) | AlphaFold available (+2)
20,B7SP41,,,204,91.8,EXCELLENT,1,0,39.9,LOW,False,0,18,https://alphafold.ebi.ac.uk/entry/B7SP41,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
21,B7SP44,,,277,89.86,GOOD,2,1,55.6,MEDIUM,False,0,18,https://alphafold.ebi.ac.uk/entry/B7SP44,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
22,Q2Q443,,,215,96.1,EXCELLENT,1,0,28.4,LOW,False,0,18,https://alphafold.ebi.ac.uk/entry/Q2Q443,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
23,Q2HZ27,,,191,84.54,GOOD,1,0,,VERY LOW,False,0,18,https://alphafold.ebi.ac.uk/entry/Q2HZ27,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
24,B7SP57,,,222,83.71,GOOD,1,0,32.0,LOW,False,0,17,https://alphafold.ebi.ac.uk/entry/B7SP57,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
25,B5TMF7,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,334,97.68,EXCELLENT,1,0,76.5,MEDIUM,False,0,16,https://alphafold.ebi.ac.uk/entry/B5TMF7,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
26,B7SP39,,,217,97.19,EXCELLENT,1,0,62.6,MEDIUM,False,0,16,https://alphafold.ebi.ac.uk/entry/B7SP39,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
27,Q86G71,,,215,76.88,USABLE,1,0,33.3,LOW,False,0,16,https://alphafold.ebi.ac.uk/entry/Q86G71,No experimental structure (+3) | No registered ligands (+3) | Unknown function — discovery (+2)
