ligand	target	gene	score	flag	sel_risk	hERG	AMES	Hepatotox	Lipinski	Veber	Egan	MW	logP	TPSA	human_identity	smiles
CHEMBL94259	B7P5E9		-14.0	FLAG(hERG,Hepatotox)	False	Flag	Low risk	Flag	Pass	Pass	Pass	565.19	4.53	97.3	0.418	N#Cc1cc(F)ccc1C1CCN(CCCNC(=O)C2=C(C(F)(F)F)NC(=O)N[C@@H]2c2ccc(F)c(F)c2)CC1
CHEMBL9718	B7PY20		-13.1	WARN(Brenk)	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	442.17	3.46	87.2	0.296	C(#Cc1ncnc2c1ncn2Cc1ccccc1)c1ncnc2c1ncn2Cc1ccccc1
CHEMBL327329	Q6XR73	Carboxylic ester hydrolase	-12.9	FLAG(hERG)	False	Flag	Low risk	Low risk	Fail	Pass	Pass	606.25	5.7	64.7	0.449	CN1CC[C@@H](c2ccc(Cl)cc2)[C@H](C(=O)NCc2ccc(CNC(=O)[C@@H]3CN(C)CC[C@H]3c3ccc(Cl)cc3)cc2)C1
CHEMBL90380	A0A4D5RMV5		-12.3	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	521.24	4.86	94.6	0.441	O=C(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(C(c2ccccc2)c2ccccc2)CC1
CHEMBL88875	B7SP64		-12.3	CLEAN	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	497.24	3.84	111.2	0.259	CC1(C)OC[C@@]2(C)C3C[C@H](O)[C@@]4(C)Oc5cc(-c6cccnc6)oc(=O)c5[C@H](O)C4[C@@]3(C)CC[C@@H]2O1
CHEMBL329588	Q2Q443		-12.2	CLEAN	False	Low risk	Low risk	Low risk	Fail	Pass	Pass	587.25	5.37	117.3	0.284	CC(=O)O[C@H]1CC2[C@](C)(CC[C@@H]3OC(c4ccccc4)OC[C@@]23C)C2[C@@H](O)c3c(cc(-c4cccnc4)oc3=O)O[C@@]21C
CHEMBL91117	A0AAQ4FH64	Flavin-containing monooxygenase	-12.0	WARN(hERG?)	False	Possible	Low risk	Low risk	Pass	Pass	Pass	490.19	1.83	114.2	0.384	CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(OC(=O)N4CCN(C)CC4)ccc3nc2-1
CHEMBL94259	A0AAQ4DBK8	Trifunctional enzyme subunit alpha, mitochondrial	-11.9	FLAG(hERG,Hepatotox)	True	Flag	Low risk	Flag	Pass	Pass	Pass	565.19	4.53	97.3	0.643	N#Cc1cc(F)ccc1C1CCN(CCCNC(=O)C2=C(C(F)(F)F)NC(=O)N[C@@H]2c2ccc(F)c(F)c2)CC1
CHEMBL328094	A0AAQ4FJ88	Flavin-containing monooxygenase	-11.8	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	600.25	4.56	103.8	0.383	CCOC(=O)N1CCC(N2CCC(C3(c4ccc(S(=O)(=O)c5ccc6c(c5)OCO6)cc4)O[C@H](C)[C@@H](C)O3)CC2)CC1
CHEMBL93007	B7SP56		-11.8	WARN(Brenk)	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	282.07	3.9	34.1	0.259	O=c1ccc2c3ccc(=O)c4cccc(c5cccc1c52)c43
CHEMBL451240	A0A4D5RNM5	Nuclear receptor subfamily 2 group B member 4	-11.6	FLAG(hERG)	True	Flag	Low risk	Low risk	Pass	Pass	Pass	395.21	3.87	64.3	0.756	CC(C)(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(F)ccc3[nH]2)CC1
CHEMBL330528	A0AAQ4D4Y2	Flavin-containing monooxygenase	-11.6	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	520.19	4.25	63.7	0.459	O=S(=O)(c1ccccc1)N1C[C@H](CN2CCC3(CC2)C[S+]([O-])c2ccccc23)[C@@H](c2ccccc2)C1
CHEMBL6293	A0AAQ4FI23	Flavin-containing monooxygenase	-11.6	WARN(Brenk)	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	417.05	3.5	98.0	0.386	O=c1cnn(-c2ccc(-c3ccc4oc5ccc(Cl)cc5c(=O)c4c3)cc2)c(=O)[nH]1
CHEMBL327701	A4UTU3		-11.6	CLEAN	True	Low risk	Low risk	Low risk	Pass	Pass	Pass	560.09	4.93	103.8	0.987	Cc1ccccc1-c1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1
CHEMBL329884	A0AAQ4E1Y4	Ion transport domain-containing protein	-11.5	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	387.18	3.03	49.8	0.47	CN1CCC23c4c5ccc(O)c4O[C@H]2C(=O)C2(Cc4ccccc4C2)CC3C1C5
CHEMBL10277	B7PMS2	8051436	-11.5	FLAG(Hepatotox)	True	Low risk	Low risk	Flag	Pass	Pass	Pass	347.15	4.04	57.6	0.756	CC(/C=C/C(=O)C1=C(O)C(C)N(C)C1=O)=C\c1ccc2ccccc2c1
CHEMBL10741	A0A4D5RDE4		-11.4	CLEAN	True	Low risk	Low risk	Low risk	Pass	Pass	Pass	362.13	2.39	81.4	0.902	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C)cccc3nc2-1
CHEMBL327847	A0AAQ4DEL6	non-specific serine/threonine protein kinase	-11.3	WARN(hERG?)	False	Possible	Low risk	Low risk	Pass	Pass	Pass	297.13	5.14	12.0	0.425	CC1=CC(C)(C)Nc2cc3c(cc21)-c1c(F)ccc(F)c1C3
CHEMBL313746	A0AAQ4F1X8	Flavin-containing monooxygenase	-11.3	FLAG(Hepatotox)	False	Low risk	Low risk	Flag	Pass	Pass	Pass	340.16	5.05	44.9	0.461	O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2
CHEMBL91616	A0A0C9R1D7	PRKCA-binding protein	-11.2	FLAG(hERG,Hepatotox)	True	Flag	Low risk	Flag	Pass	Pass	Pass	511.22	3.75	88.5	0.721	CN1C=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)NC1=O
CHEMBL423134	A0A0C9RY70	3-hydroxyacyl-CoA dehydrogenase type-2	-11.2	FLAG(hERG)	True	Flag	Low risk	Low risk	Pass	Pass	Pass	563.21	4.73	114.0	0.681	COc1cc(C(=O)NS(=O)(=O)c2ccccc2)ccc1CN1CCOc2ccc(NC(=O)CC3CCCC3)cc21
CHEMBL89719	B2ZHX0		-11.2	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	301.18	4.95	3.2	0.284	C[C@H]1c2ccccc2C=C(C2=CCN(C)CC2)c2ccccc21
