accession	species	name	gene	status	template_pdb	template_chain	template_pident	template_cov	ligand_id	ligand_name	ligand_accept_reason	n_contact_residues_total	n_chains_contributing	inter_subunit	fraction_unmappable	n_pocket_residues	apis_mellifera_identity	apis_mellifera_ortholog_absent	bombus_terrestris_identity	bombus_terrestris_ortholog_absent	varroa_destructor_identity	varroa_destructor_ortholog_absent	metaseiulus_occidentalis_identity	metaseiulus_occidentalis_ortholog_absent	tetranychus_urticae_identity	tetranychus_urticae_ortholog_absent	daphnia_magna_identity	daphnia_magna_ortholog_absent	folsomia_candida_identity	folsomia_candida_ortholog_absent	drosophila_melanogaster_identity	drosophila_melanogaster_ortholog_absent	limulus_polyphemus_identity	limulus_polyphemus_ortholog_absent	homo_sapiens_identity	homo_sapiens_ortholog_absent	canis_lupus_familiaris_identity	canis_lupus_familiaris_ortholog_absent	felis_catus_identity	felis_catus_ortholog_absent	mus_musculus_identity	mus_musculus_ortholog_absent	min_divergence	min_divergence_species	verdict	arthropod_verdict	mammal_verdict	scope
B7SP41	dermacentor_variabilis			ok	7fql	7fql_H	38.342	94.6078431372549	WSN	N-[(2R)-4-amino-1-imino-4-oxobutan-2-yl]-1-(1-{4-[(2,4-difluorophenyl)methoxy]phenyl}cyclopropane-1-carbonyl)-L-prolinamide	drug-like organic ligand	23	2	True	0.7391	4	0.0	True	0.0	True	0.0	True	0.0	False	0.0	False	0.5	False	0.25	False	0.0	True	0.5	False	0.25	False	0.0	False	0.0	False	0.25	False	0.5	daphnia_magna	MARGINAL	MARGINAL	SELECTIVE	RESIDENTIAL_ONLY
B7SP44	dermacentor_variabilis			ok	1the	1the_B	58.103	91.33574007220217	0E6	amino{[(4S)-4-{[(benzyloxy)carbonyl]amino}-5-{[(2S)-1-(benzy	drug-like organic ligand	26	2	True	0.1538	22	0.4091	False	0.5	False	0.5	False	0.4545	False	0.4545	False	0.4545	False	0.4545	False	0.4545	False	0.5	False	0.5	False	0.4545	False	0.4545	False	0.5	False	0.5	varroa_destructor	MARGINAL	MARGINAL	MARGINAL	NEITHER
A0AAQ4FH64	amblyomma_americanum	Flavin-containing monooxygenase		ok	6sek	6sek_B	38.672	100.0	FAD	FLAVIN-ADENINE DINUCLEOTIDE	cofactor -- marks a real functional site	38	1	False	0.0	38	0.5	False	0.5	False	0.5789	False	0.5789	False	0.2368	False	0.4737	False	0.4737	False	0.4474	False	0.4474	False	0.5	False	0.5	False	0.5	False	0.5263	False	0.4211	varroa_destructor	MARGINAL	MARGINAL	MARGINAL	NEITHER
A0AAQ4D4Y2	amblyomma_americanum	Flavin-containing monooxygenase		ok	6sek	6sek_B	46.765	91.15281501340482	FAD	FLAVIN-ADENINE DINUCLEOTIDE	cofactor -- marks a real functional site	38	1	False	0.0	10	0.4	False	0.1	False	0.3	False	0.4	False	0.3	False	0.0	True	0.2	False	0.2	False	0.5	False	0.6	False	0.6	False	0.5	False	0.5	False	0.4	homo_sapiens	RISKY	MARGINAL	RISKY	NEITHER
A0AAQ4F1X8	amblyomma_americanum	Flavin-containing monooxygenase		ok	6sek	6sek_B	47.191	93.35664335664336	FAD	FLAVIN-ADENINE DINUCLEOTIDE	cofactor -- marks a real functional site	38	1	False	0.0	38	0.6053	False	0.5263	False	0.5789	False	0.5789	False	0.3158	False	0.4211	False	0.5	False	0.4211	False	0.5526	False	0.6316	False	0.6316	False	0.6316	False	0.5789	False	0.3684	homo_sapiens	RISKY	RISKY	RISKY	NEITHER
A0AAQ4FI23	amblyomma_americanum	Flavin-containing monooxygenase		ok	6sek	6sek_B	38.416	91.15523465703971	FAD	FLAVIN-ADENINE DINUCLEOTIDE	cofactor -- marks a real functional site	38	1	False	0.0	38	0.4474	False	0.4474	False	0.6579	False	0.6579	False	0.2632	False	0.4474	False	0.4737	False	0.4737	False	0.6053	False	0.5526	False	0.5526	False	0.5526	False	0.5789	False	0.3421	metaseiulus_occidentalis	RISKY	RISKY	MARGINAL	NEITHER
A0AAQ4FJ88	amblyomma_americanum	Flavin-containing monooxygenase		ok	6sek	6sek_B	39.245	98.51301115241635	FAD	FLAVIN-ADENINE DINUCLEOTIDE	cofactor -- marks a real functional site	38	1	False	0.0	38	0.4474	False	0.4474	False	0.6316	False	0.2895	False	0.7105	False	0.4211	False	0.4474	False	0.4211	False	0.4211	False	0.5789	False	0.6053	False	0.6053	False	0.6316	False	0.2895	tetranychus_urticae	RISKY	RISKY	RISKY	NEITHER
A0AAQ4DJ97	amblyomma_americanum	Flavin-containing monooxygenase		ok	6sek	6sek_B	46.429	93.16081330868762	FAD	FLAVIN-ADENINE DINUCLEOTIDE	cofactor -- marks a real functional site	38	1	False	0.0	38	0.4211	False	0.4474	False	0.6579	False	0.6579	False	0.7895	False	0.4211	False	0.4737	False	0.4211	False	0.5263	False	0.6579	False	0.6579	False	0.6579	False	0.7105	False	0.2105	tetranychus_urticae	RISKY	RISKY	RISKY	NEITHER
B7SP34	dermacentor_variabilis			ok	4q2k	4q2k_D	35.294	87.93103448275862	5BF	(11S)-4,9-dioxo-N-[(2S)-1-oxo-3-phenylpropan-2-yl]-17,22-dioxa-10,30-diazatetracyclo[21.2.2.2~13,16~.1~5,8~]triaconta-1(25),5,7,13,15,23,26,28-octaene-11-carboxamide	drug-like organic ligand	24	2	True	0.25	16	0.75	False	0.5625	False	0.6875	False	0.8125	False	0.6875	False	0.625	False	0.5	False	0.625	False	0.6875	False	0.6875	False	0.6875	False	0.6875	False	0.625	False	0.1875	metaseiulus_occidentalis	RISKY	RISKY	RISKY	NEITHER
A0AAQ4E5F2	amblyomma_americanum	NAD(P)H oxidase (H2O2-forming)		ok	7d3f	7d3f_C	44.533	101.00401606425703	FAD	FLAVIN-ADENINE DINUCLEOTIDE	cofactor -- marks a real functional site	22	1	False	0.0	22	0.6818	False	0.6818	False	0.6364	False	0.6364	False	0.6818	False	0.6818	False	0.7727	False	0.6818	False	0.5	False	0.8182	False	0.8182	False	0.8182	False	0.8182	False	0.1818	homo_sapiens	RISKY	RISKY	RISKY	NEITHER
