ligand	target	gene	score	flag	sel_risk	hERG	AMES	Hepatotox	Lipinski	Veber	Egan	MW	logP	TPSA	human_identity	smiles
CHEMBL9718	B7PY20		-13.1	WARN(Brenk)	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	442.17	3.46	87.2	0.296	C(#Cc1ncnc2c1ncn2Cc1ccccc1)c1ncnc2c1ncn2Cc1ccccc1
CHEMBL327329	Q6XR73	Carboxylic ester hydrolase	-12.9	FLAG(hERG)	False	Flag	Low risk	Low risk	Fail	Pass	Pass	606.25	5.7	64.7	0.449	CN1CC[C@@H](c2ccc(Cl)cc2)[C@H](C(=O)NCc2ccc(CNC(=O)[C@@H]3CN(C)CC[C@H]3c3ccc(Cl)cc3)cc2)C1
CHEMBL90380	A0A4D5RMV5		-12.3	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	521.24	4.86	94.6	0.441	O=C(CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1)N1CCN(C(c2ccccc2)c2ccccc2)CC1
CHEMBL88875	B7SP64		-12.3	CLEAN	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	497.24	3.84	111.2	0.259	CC1(C)OC[C@@]2(C)C3C[C@H](O)[C@@]4(C)Oc5cc(-c6cccnc6)oc(=O)c5[C@H](O)C4[C@@]3(C)CC[C@@H]2O1
CHEMBL329588	Q2Q443		-12.2	CLEAN	False	Low risk	Low risk	Low risk	Fail	Pass	Pass	587.25	5.37	117.3	0.284	CC(=O)O[C@H]1CC2[C@](C)(CC[C@@H]3OC(c4ccccc4)OC[C@@]23C)C2[C@@H](O)c3c(cc(-c4cccnc4)oc3=O)O[C@@]21C
CHEMBL91117	A0AAQ4FH64	Flavin-containing monooxygenase	-12.0	WARN(hERG?)	False	Possible	Low risk	Low risk	Pass	Pass	Pass	490.19	1.83	114.2	0.384	CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(OC(=O)N4CCN(C)CC4)ccc3nc2-1
CHEMBL93007	B7SP56		-11.8	WARN(Brenk)	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	282.07	3.9	34.1	0.259	O=c1ccc2c3ccc(=O)c4cccc(c5cccc1c52)c43
CHEMBL329884	A0AAQ4E1Y4	Ion transport domain-containing protein	-11.5	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	387.18	3.03	49.8	0.47	CN1CCC23c4c5ccc(O)c4O[C@H]2C(=O)C2(Cc4ccccc4C2)CC3C1C5
CHEMBL327847	A0AAQ4DEL6	non-specific serine/threonine protein kinase	-11.3	WARN(hERG?)	False	Possible	Low risk	Low risk	Pass	Pass	Pass	297.13	5.14	12.0	0.425	CC1=CC(C)(C)Nc2cc3c(cc21)-c1c(F)ccc(F)c1C3
CHEMBL89719	B2ZHX0		-11.2	FLAG(hERG)	False	Flag	Low risk	Low risk	Pass	Pass	Pass	301.18	4.95	3.2	0.284	C[C@H]1c2ccccc2C=C(C2=CCN(C)CC2)c2ccccc21
CHEMBL316212	Q06EX9		-11.2	CLEAN	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	355.16	5.82	43.1	0.388	CC(C)(C)c1ccc(-c2nc3ccc(-c4ccccc4)cc3c(=O)o2)cc1
CHEMBL433412	Q8T9S4	Tetraspanin	-11.1	FLAG(Hepatotox)	False	Low risk	Low risk	Flag	Pass	Pass	Pass	334.08	2.71	65.1	0.343	O=C1C=CC2(Oc3cccc4cccc(c34)O2)C23OC12CCCC3=O
CHEMBL93944	A0AAQ4DD00	E3 ubiquitin-protein ligase MARCHF6	-10.8	CLEAN	False	Low risk	Low risk	Low risk	Pass	Pass	Pass	461.26	5.87	67.8	0.591	COc1ccc2cc(C(C)C(=O)NCCC3(C)CCc4c(C)c(O)c(C)c(C)c4O3)ccc2c1
